id,CH,Acc,MHT,AcBF
414,0.0,4.749,336.0,4.723
415,0.0,4.777,274.0,0.0
417,0.0,4.713,29.6,0.0
418,0.0,11.238,267.0,0.0
419,0.0,8.332,217.0,0.0
420,0.0,4.756,192.0,4.75
421,0.0,7.94,274.0,0.0
422,0.0,4.765,275.0,5.933
423,0.0,4.728,217.0,0.0
424,0.0,4.799,29.1,0.0
425,0.0,4.758,394.0,0.0
426,0.0,4.735,194.0,0.0
427,0.0,4.728,182.0,0.0
428,0.0,5.108,270.0,0.0
429,0.0,4.763,193.0,0.0
430,0.0,4.795,177.0,7.695
431,0.0,4.807,252.0,0.0
432,0.0,4.879,218.0,0.0
433,0.0,11.408,184.0,0.0
434,0.0,4.799,274.0,0.0
435,0.0,4.737,255.0,0.0
436,0.0,4.749,274.0,0.0
437,0.0,5.503,336.0,0.0
438,0.0,4.786,186.0,0.0
439,0.0,10.927,392.0,0.0
440,0.0,4.757,184.0,0.0
441,0.0,4.744,194.0,0.0
442,0.0,4.735,335.0,0.0
443,0.0,4.811,269.0,0.0
444,0.0,4.736,271.0,0.0
445,0.0,5.724,192.0,0.0
446,0.0,11.36,241.0,0.0
447,0.0,10.469,184.0,0.0
448,0.0,4.734,234.0,0.0
449,0.0,11.534,274.0,0.0
450,0.0,7.323,193.0,0.0
451,0.0,5.126,279.0,0.0
452,0.0,7.966,267.0,0.0
453,0.0,4.784,192.0,0.0
454,0.0,4.756,376.0,0.0
455,0.0,11.673,192.0,0.0
456,0.0,4.743,271.0,0.0
457,0.0,4.763,376.0,0.0
458,0.0,4.726,218.0,0.0
459,0.0,4.751,194.0,0.0
460,0.0,4.81,376.0,0.0
461,0.0,4.739,193.0,0.0
463,0.0,10.174,234.0,0.0
464,0.0,4.784,241.0,0.0
465,0.0,4.736,272.0,0.0
466,0.0,8.7,272.0,0.0
467,0.0,4.699,184.0,5.686
468,0.0,4.753,241.0,0.0
469,0.0,4.778,177.0,0.0
470,0.0,4.726,189.0,0.0
471,0.0,4.81,240.0,0.0
472,0.0,4.768,234.0,0.0
474,0.0,4.758,267.0,0.0
475,0.0,4.713,392.0,0.0
476,0.0,4.758,182.0,11.29
477,0.0,4.774,200.0,0.0
478,0.0,4.752,212.0,0.0
479,0.0,4.757,272.0,0.0
480,0.0,5.22,336.0,0.0
482,0.0,11.366,256.0,0.0
483,0.0,4.792,240.0,0.0
484,0.0,4.767,280.0,0.0
485,0.0,5.503,402.0,0.0
486,0.0,11.316,335.0,0.0
488,0.0,10.174,274.0,0.0
489,0.0,4.764,234.0,0.0
490,0.0,4.73,193.0,0.0
491,0.0,4.849,275.0,0.0
492,0.0,11.423,267.0,0.0
493,0.0,6.101,255.0,4.732
494,0.0,11.365,219.0,0.0
495,0.0,4.744,252.0,0.0
496,0.0,4.699,240.0,0.0
497,0.0,4.744,336.0,0.0
498,0.0,11.356,176.0,0.0
499,0.0,11.441,192.0,0.0
500,0.0,6.93,234.0,0.0
501,0.0,10.99,270.0,0.0
502,0.0,11.905,217.0,0.0
504,0.0,6.38,276.0,0.0
505,0.0,9.309,255.0,0.0
506,0.0,4.766,177.0,0.0
507,0.0,4.801,185.0,0.0
508,0.0,11.502,217.0,0.0
509,0.0,4.745,252.0,0.0
510,0.0,9.485,241.0,0.0
512,0.0,5.222,375.0,0.0
514,0.0,11.035,183.0,0.0
515,0.0,5.055,256.0,6.162
516,0.0,4.734,254.0,0.0
517,0.0,11.127,192.0,0.0
518,0.0,4.751,218.0,0.0
519,0.0,7.207,217.0,0.0
520,0.0,4.777,176.0,0.0
521,0.0,4.741,194.0,0.0
522,0.0,5.401,216.0,0.0
523,0.0,4.815,240.0,0.0
524,0.0,4.801,217.0,0.0
526,0.0,4.755,252.0,0.0
527,0.0,4.729,193.0,0.0
528,0.0,4.775,193.0,0.0
529,0.0,4.721,176.0,0.0
530,0.0,4.762,335.0,0.0
532,0.0,5.667,234.0,0.0
533,0.0,11.542,192.0,0.0
534,0.0,4.776,378.0,4.734
535,0.0,4.788,392.0,0.0
536,0.0,5.826,194.0,0.0
537,0.0,8.844,240.0,0.0
538,0.0,4.745,377.0,0.0
539,0.0,4.758,251.0,0.0
540,0.0,4.749,192.0,0.0
541,0.0,4.751,376.0,0.0
542,0.0,5.017,274.0,0.0
544,0.0,4.763,336.0,0.0
545,0.0,11.354,29.5,0.0
546,0.0,4.814,192.0,0.0
547,0.0,4.775,193.0,0.0
549,0.0,11.423,275.0,0.0
550,0.0,11.337,256.0,0.0
551,0.0,4.736,394.0,11.673
552,0.0,4.739,29.6,0.0
553,0.0,4.784,274.0,0.0
554,0.0,12.046,182.0,0.0
555,0.0,4.811,29.4,0.0
556,0.0,4.794,234.0,0.0
557,0.0,4.737,194.0,0.0
558,0.0,7.823,193.0,0.0
559,0.0,4.743,185.0,0.0
560,0.0,4.761,252.0,0.0
561,0.0,5.667,271.0,0.0
562,0.0,4.756,241.0,0.0
563,0.0,7.738,234.0,0.0
564,0.0,4.728,202.0,0.0
565,0.0,5.401,193.0,4.763
566,0.0,10.53,251.0,0.0
567,0.0,11.411,251.0,0.0
568,0.0,4.765,29.5,0.0
569,0.0,4.887,192.0,0.0
570,0.0,4.743,193.0,0.0
571,0.0,4.774,274.0,4.759
572,0.0,4.728,193.0,0.0
573,0.0,4.758,182.0,0.0
574,0.0,4.767,271.0,11.199
575,0.0,11.117,193.0,0.0
576,0.0,4.799,274.0,0.0
577,0.0,4.879,271.0,0.0
578,0.0,9.145,274.0,4.763
579,0.0,4.84,29.9,0.0
580,0.0,7.078,234.0,0.0
581,0.0,4.781,193.0,0.0
582,0.0,4.707,336.0,0.0
583,0.0,4.72,234.0,0.0
584,0.0,6.736,193.0,0.0
585,0.0,4.731,275.0,0.0
586,0.0,4.779,177.0,0.0
587,0.0,4.72,336.0,0.0
588,0.0,4.733,335.0,4.804
589,0.0,4.743,252.0,0.0
590,0.0,12.316,394.0,0.0
591,0.0,7.651,194.0,0.0
592,0.0,8.847,217.0,0.0
593,0.0,4.748,336.0,4.776
594,0.0,4.757,240.0,0.0
595,0.0,4.773,274.0,0.0
596,0.0,7.151,29.7,0.0
597,0.0,11.178,386.0,0.0
598,0.0,8.704,271.0,0.0
599,0.0,4.738,176.0,0.0
600,0.0,4.784,275.0,0.0
601,0.0,4.747,180.0,0.0
603,0.0,5.826,217.0,4.73
604,0.0,8.138,257.0,0.0
605,0.0,4.727,185.0,0.0
606,0.0,4.762,193.0,4.837
607,0.0,4.759,272.0,0.0
608,0.0,8.627,267.0,0.0
609,0.0,4.748,267.0,0.0
610,0.0,4.79,252.0,0.0
611,0.0,4.745,217.0,0.0
612,0.0,4.764,336.0,0.0
613,0.0,4.879,240.0,0.0
614,0.0,4.783,251.0,0.0
615,0.0,4.756,192.0,0.0
617,0.0,11.178,377.0,0.0
618,0.0,11.409,234.0,0.0
619,0.0,4.749,271.0,0.0
620,0.0,4.713,240.0,0.0
621,0.0,4.785,193.0,0.0
622,0.0,4.797,274.0,0.0
623,0.0,4.775,212.0,0.0
624,0.0,4.778,235.0,0.0
625,0.0,4.713,240.0,0.0
626,0.0,4.783,194.0,0.0
627,0.0,4.753,267.0,0.0
628,0.0,4.778,234.0,0.0
629,0.0,11.391,335.0,0.0
630,0.0,4.757,192.0,0.0
631,0.0,6.931,29.7,0.0
632,0.0,11.433,336.0,0.0
633,0.0,4.776,241.0,0.0
634,0.0,4.779,268.0,0.0
635,0.0,7.966,241.0,0.0
636,0.0,11.327,183.0,0.0
637,0.0,4.759,376.0,0.0
638,0.0,4.763,252.0,0.0
639,0.0,4.782,252.0,0.0
640,0.0,4.797,275.0,0.0
641,0.0,4.749,234.0,0.0
642,0.0,7.859,384.0,0.0
643,0.0,4.795,274.0,0.0
